"CNES";UF;IBGE;"NOME";"LOGRADOURO";"BAIRRO";LATITUDE;LONGITUDE
"6365825";"35";"355030";"SERVICO DE ATENCAO DOMICILIAR CAPELA DO SOCORRO";"RUA CASSIO DE CAMPOS NOGUEIRA";"JARDIM DAS IMBUIAS";"-23.7293827536";"-46,7119798577"
"6365868";"15";"150277";"UNIDADE BASICA DE SAUDE MIGUEL CHAMOM";"AV BAHIA";"CENTRO";"-6.09722787";"-49,6006053686"
"6366074";"15";"150277";"UNIDADE BASICA DE SAUDE 31";"AVENIDA AMAZONAS";"CENTRO";"-6.0992674";"-49,598895"
"6366155";"26";"260750";"EMULTI ITAIBA";"RUA DE ITAIBA";"CENTRO";"-8.9481155725";"-37,422888279"
"6366538";"13";"130340";"UNIDADE BASICA DE SAUDE DA FAMILIA ALDRIN VERCOSA";"RUA JOAO PESSOA";"ITAUNA 2";"-2.647336611";"-56,7441433668"
"6366848";"15";"150277";"UNIDADE BASICA DE SAUDE RIO GRANDE DO SUL";"AV RIO GRANDE DO SUL";"CENTRO";"-6.0939191";"-49,6037416"
"6367003";"23";"231190";"POSTO DE SAUDE DA COHAB";"AV MANOEL FERREIRA DE SOUZA";"COHAB";"-6.533842";"-39,903881"
"6367054";"31";"312690";"ESTRATEGIA SAUDE DA FAMILIA PANTANAL";"RUA ANTONIO ANALIA FILHO";"PANTANAL";"-18.5587367365";"-41,9093871117"
"6367275";"31";"310740";"UBS FATIMA";"RUA PADRE JOAO";"FATIMA";"-19.725277";"-45,2646302"
"6367461";"42";"421970";"UNIDADE DE SAUDE DA FAMILIA FREI BRUNO";"CANDIDO TESTON";"FREI BRUNO";"-26.9577075";"-52,537808"
"6367488";"42";"420310";"PROGRAMA DE SAUDE DA FAMILIA EQUIPE 03";"RUA ALMIRANTE SALDANHA";"CENTRO";"-27.0754582";"-53,2460756"
"6367569";"31";"311180";"PSF4 UNIDADE BASICA DE SAUDE DA FAMILIA BOLIVAR JOSE SANTANA";"RUA FRANCISCO ANGELO SOBRINHO";"JORGE DE PAULA GOUVE";"-18.7295782042";"-49,1970080137"
"6367615";"51";"510626";"UNIDADE DE SAUDE DA FAMILIA DORICO PEREIRA DE ARAUJO";"RUA DOS MOGNOS";"DAMA DE OURO";"-9.9749766836";"-55,1786613464"
"6368379";"31";"310620";"CENTRO DE SAUDE SANTO ANTONIO";"RUA IRINEU PINTO";"SAO JOAO BATISTA";"-19.8175117391";"-43,9588921614"
"6368735";"29";"292600";"UNIDADE DE SAUDE DA FAMILIA DO DESTERRO";"SITIO DESTERRO";"ZONA RURAL";"-9.4179032815";"-41,9526672363"
"6369456";"29";"290110";"USF MARIA LIBANIA DE JESUS";"AVENIDA BERNARDINO SOUZA";"AREAL";"-12.414385";"-38,758435"
"6369510";"35";"351130";"ESF JARDIM GALANTE RAPHAEL CAMPAGNA";"RUA HEITOR LUCATTO";"JARDIM DO GALANTE";"-20.9147747114";"-49,2657744884"
"6369537";"21";"210460";"UNIDADE BASICA DE SAUDE CANAA";"BR 326";"CANAA";"-5.3643668455";"-44,2196092866"
"6371221";"33";"330170";"UNIDADE DE SAUDE DA FAMILIA SEBASTIAO DE SOUZA ALVES";"RUA FRANCISCO ALVES";"PARQUE BEIRA MAR";"-22.7925620812";"-43,2883000374"
"6371655";"23";"230600";"POSTO DE SAUDE JOAQUIM NOGUEIRA DE MELO";"RUA ANTONIO VALDENIR COSTA BARBOSA";"HOLANDINO";"-5.8104087014";"-38,2997560501"
"6371698";"41";"410240";"CENTRO DE SAUDE DA MULHER E DA CRIANCA";"AVENIDA EDELINA MENEGUEL RANDO";"IBC";"-23.1037021";"-50,3692818"
"6372082";"17";"172100";"UNIDADE DE SAUDE DA FAMILIA DEISE DE FATIMA ARAUJO DE PAULA";"ARSE 13 ALAMEDA 02 LOTE 05";"CENTRO";"-10.1593360598";"-48,3517313004"
"6372589";"23";"230910";"UNIDADE DE SAUDE DA FAMILIA DE BASTIOES";"BATIOES";"ZONA RURAL";"-4.301883";"-38,983578"
"6373259";"23";"231390";"UNIDADE BASICA DE SAUDE EUDES MATOS DA SILVA";"RUA MIRABIAU PESSOA";"CENTRO";"-3.3141010901";"-40,5593213439"
"6373410";"35";"352360";"ESF EQUIPE DE SAUDE DA FAMILIA INDAIAS";"AVENIDA JOSE BACCIOTTI";"JARDIM DOS INDAIAS";"-22.25326";"-47,8271"
"6374212";"52";"521525";"PSF II ZONA RURAL";"RUA GOIAS ESQ C SAO SALVADOR";"CENTRO";"-13.2440289353";"-49,5044481754"
"6374514";"15";"150320";"USF PAU CHEIROSO";"TRAVESSA DO QUARENTA";"PAU CHEIROSO";"-1.118974";"-47,6127232"
"6374840";"35";"352800";"USF JARDIM PLANALTO MACATUBA";"RUA PEDRO SOARES DE ALMEIDA";"JARDIM PLANALTO";"-22.5173341";"-48,7270515"
"6375006";"50";"500260";"UNIDADE DE SAUDE DA FAMILIA VI RURAL";"CUIABA";"CENTRO";"-19.5344532308";"-54,0412545204"
"6375014";"50";"500260";"UNIDADE DE SAUDE DA FAMILIA III CENTRAL";"CUIABA";"CENTRO";"-19.5342105596";"-54,0412652493"
"6375022";"50";"500260";"UNIDADE DE SAUDE DA FAMILIA II VILA IZOLINA";"BELTINO FERREIRA DE LIMA";"JOAO LEITE DE BARROS";"-19.5307929021";"-54,0442156792"
"6375278";"23";"230625";"HSPPOL";"RODOVIA BR116 KM 17";"PEDRA";"-3.9008";"-38,5074"
"6375294";"23";"230625";"UP ITAITINGA II";"RODOVIA BR 116 KM 17";"PEDRAS";"-3.9853559622";"-38,5205554962"
"6375324";"23";"230625";"IPGSG";"BR 116 KM 17";"PEDRAS";"-3.9007";"-38,506"
"6375855";"26";"260050";"UNIDADE DE SAUDE DA FAMILIA DO GARCIA";"SITIO GARCIA";"ZONA RURAL";"-9.1109106207";"-37,1230387688"
"6375863";"26";"260050";"UNIDADE DE SAUDE DA FAMILIA CAMPO GRANDE";"SITIO CAMPO GRANDE";"ZONA RURAL";"-9.1108682468";"-37,1229958534"
"6376487";"23";"231355";"UNIDADE BASICA DE SAUDE SEDE CENTRO";"RUA FRANCISCO SALES";"CENTRO";"-3.5994796";"-39,4356862"
"6376819";"43";"430510";"UBS VILA OLIVA";"AVENIDA GAVIOLI";"DISTRITO DE VILA OLI";"-29.2302807";"-50,8923801"
"6377238";"35";"351685";"PSF UNIDADE I GAVIAO PEIXOTO";"ALAMEDA GULLA";"CENTRO";"-21.8390134044";"-48,4951543808"
"6377246";"35";"351685";"PSF UNIDADE II GAVIAO PEIXOTO";"ALAMEDA FEREZ";"CENTRO";"-21.8427606";"-48,4934087"
"6377742";"35";"355030";"UBS VILA CAIUBA";"RUA PRESIDENTE VARGAS";"PERUS";"-23.39985";"-46,75041"
"6377874";"35";"351230";"UNIDADE DE SAUDE DA FAMILIA CENTRAL III";"AV ELIAS TOMAZELA";"VILA SEMINARIO";"-23.03558";"-48,0169"
"6378374";"35";"351370";"USF BENEDICTO DE ARRUDA OLIVEIRA DESCALVADO";"RUA DR FRANCISCO ANTONIO DE SOUZA QUEIROZ FILHO";"SAO SEBASTIAO";"-21.9001676089";"-47,6282429695"
"6378706";"29";"290650";"UBS CENTRAL DE ABASTECIMENTO";"AV ANTONIO PATERSON";"TRIANGULO";"-12.668725";"-38,539824"
"6378978";"42";"421545";"UNIDADE BASICA DE SAUDE AGUA BOA";"RUA PATRICIO HERCILIO PEREIRA";"AGUA BOA";"-28.672779386";"-49,0842747688"
"6379265";"35";"350850";"UBS CENTRO";"AVENIDA CORONEL ALCANTARA";"CENTRO";"-23.0992632762";"-45,7030981779"
"6379370";"35";"351280";"UNIDADE BASICA DE SAUDE DR ORLANDO JOSE KALIL AUN";"RUA PEDRO DAMIANO";"CONJUNTO HABITACIONA";"-22.6330053626";"-47,185485363"
"6379583";"23";"230070";"UNIDADE BASICA DE SAUDE DO BATOQUE";"SITIO BATOQUE";"ZONA RURAL";"-5.430072";"-38,284183"
"6379591";"23";"230070";"UNIDADE BASICA DE SAUDE DO TIBOLO";"SITIO TIBOLO";"ZONA PERIURBANA";"-5.525981";"-38,261604"
"6379745";"31";"310340";"PROGRAMA DE SAUDE DA FAMILIA PSF VILA MAGNOLIA";"RUA MARIA GOMES CARDOSO";"SAO FRANCISCO";"-16.8521704964";"-42,062959671"
"6379788";"31";"315415";"ESF JAGUARAI";"R PRINCIPAL";"ZONA RURAL J AGUARAI";"-20.2319189225";"-41,9276046753"
"6379982";"33";"330190";"UBS PICOS";"RUA EUGENIO COSTA";"PICOS";"-22.764144";"-42,804086"
"6380360";"26";"260290";"USF LOTEAMENTO GARAPU";"RUA DO ACUDE";"GARAPU";"-8.3013573";"-35,0303511"
"6380611";"23";"231290";"CSF COHAB II";"RUA ARTEMIZIA";"COHAB II";"-3.7038895";"-40,335502"
"6380972";"26";"260660";"UBS LOTEAMENTO ANGELO GOMES";"RUA III";"CENTRO";"-8.54178958";"-37,6974125"
"6381057";"35";"352400";"UBS DO BAIRRO RIO DAS PEDRAS";"RUA LUCIA DE QUEIROZ GUIMARAES";"RIO DAS PEDRAS";"-23.155835";"-47,0565084"
"6381103";"24";"241330";"UNIDADE BASICA DE SAUDE IDELFONSO MOREIRA PSF II";"SITIO RAJADA";"ZONA RURAL";"-6.414";"-35,705"
"6381146";"26";"261400";"PSF SAO MIGUEL";"AVENIDA DANIEL ARRAIS";"CENTRO";"-7.9543403";"-39,292623"
"6381464";"31";"314830";"UNIDADE DE SAUDE DA FAMILIA ZONA D";"RUA TEOTONIO T TEIXEIRA";"CENTRO";"-20.8720645";"-42,9880958"
"6381995";"31";"313550";"UNIDADE BASICA DE SAUDE OTAVIO MAFIA GOMES";"RUA FRANCISCO ROMUALDO NETO";"JOAO BOSCO CALAIS";"-20.4571723978";"-42,6712417603"
"6382029";"31";"311290";"ESF CRISPIM";"COMUNIDADE DO CRISPIM";"ZONA RURAL";"-20.1726766873";"-42,2769515691"
"6382347";"13";"130010";"CENTRO DE SAUDE JULIO TELES DE SOUZA";"PRACA CAPITAO PEDRO SILVA";"CENTRO";"-3.7729194192";"-61,6434931755"
"6382428";"35";"355250";"USF VEREADOR GREGORIO BONIFACIO DA SILVA";"RUA NICACIO DA SILVA BASTOS";"PQ BUENOS AIRES";"-23.6341255873";"-46,3265025616"
"6382789";"43";"431840";"UNIDADE DE SAUDE ESTRATEGIA DA FAMILIA INTERIOR";"ESTRADA GERAL DA QUITERIA ZECA NETO";"QUITERIA";"-29.959438";"-51,728177"
"6382959";"41";"411860";"UAPSF PROGRAMA DE SAUDE DA FAMILIA DE PAULA FREITAS";"RUA JUVITA GRILO";"CENTRO";"-26.2100477787";"-50,9349668026"
"6383106";"35";"354980";"UBS CAIC CRISTO REI";"AVENIDA DE MAIO";"GUIOMAR ASSAD CALIL";"-20.825203";"-49,351995"
"6383688";"35";"355170";"UNIDADE DA MULHER E CRIANCA SERTAOZINHO";"R EPITACIO PESSOA";"CENTRO";;
"6383769";"35";"355170";"SERMED SAUDE PREVENTIVA SERTAOZINHO";"AV EGISTRO SICCHIERI";"CENTRO";;
"6384005";"15";"150307";"ESF PARAENSE";"RUA CARLOS GOMES";"PARAENSES";"-1.9240910365";"-47,0527696609"
"6384137";"25";"251130";"MELHOR EM CASA PIANCO";"RUA ADALBERTO LOPES FILHO";"OURO BRANCO";"-7.198021";"-37,924634"
"6384374";"52";"520551";"UNIDADE BASICA DE SAUDE EURIPEDES FERREIRA";"AV ANAPOLIS";"CENTRO";"-15.7848512175";"-48,7716847658"
"6384587";"50";"500660";"UNIDADE BASICA DE SAUDE DR CARLOS AUGUSTO PISSINI SOBREIRO";"MS 164 411 ITAMARATI II";"AREA COMUNIT DO GRUP";"-22.279996";"-55,6822575"
"6385206";"43";"430510";"UBS CRIUVA";"AV QUINZE DE NOVEMBRO";"CRIUVA";"-29.3782029";"-51,1131459"
"6385427";"29";"293180";"FARMACIA BASICA MUNICIPAL DE TREMEDAL";"AV SETE DE SETEMBRO";"CENTRO";"-14.975";"-41,416"
"6385435";"31";"314180";"UBS EUSTAQUIO FAUSTO FERNANDES";"AVENIDA DELFIM MOREIRA";"SAUDADE";"-17.21998";"-42,58726"
"6385532";"31";"314330";"ESFSBMII MARACANA II";"AVENIDA BRASILIA";"MARACANA";;
"6385559";"31";"314330";"ESFSBMI MARACANA III";"AVENIDA BRASILIA";"MARACANA";;
"6385567";"31";"314330";"ESFSBMI MARACANA IV";"AVENIDA BRASILIA";"MARACANA";;
"6385990";"15";"150840";"UNIDADE DE ESF MARAJOARA II";"AV HORLANDO LUIZ MURARO";"MARAJOARA II";"-7.0988751437";"-49,9291169643"
"6386482";"29";"292740";"USF ILHA DE MARE";"ILHA DE MARE";"PRAIA GRANDE";"-12.7704987";"-38,5275024919"
"6386512";"11";"110020";"UNIDADE DE SAUDE DA FAMILIA MARIANA";"ROSALINA GOMES";"MARIANA";"-8.7714689";"-63,8207603"
"6386695";"35";"352160";"FUNDACAO CASA I E II DE IRAPURU";"ESTRADA MUNICIPAL 3";"PATURY";"-21.5707702101";"-51,3447117805"
"6386733";"31";"314545";"UBS LABATU";"RUA IRENE DE JESUS DIAS VIEIRA";"CENTRO";"-17.3979850154";"-43,5691165924"
"6387152";"33";"330455";"SMS CF OLIMPIA ESTEVES AP 51";"RUA OLIMPIA ESTEVES";"PADRE MIGUEL";"-22.888497";"-43,446811"
"6387497";"50";"500769";"NASF NUCLEO DE APOIO A SAUDE DA FAMILIA";"AVENIDA MATO GROSSO DO SUL";"CENTRO";"-19.395464";"-54,56465"
"6387500";"26";"260950";"PSF TAMATAUPE";"LOTEAMENTO TAMATAUPE";"TAMATAUPE";"-7.7376554197";"-35,2282619476"
"6387799";"29";"292740";"USF CAJAZEIRAS XI";"AVENIDA JUCELINO KUBITSCHEK";"CAJAZEIRAS XI";"-12.8824917359";"-38,4085679054"
"6387853";"35";"353050";"CENTRO DE SAUDE II DR JOSE PAIONE MOCOCA TRAILER";"PRACA MARECHAL DEODORO";"CENTRO";"-21.468";"-47,005"
"6387918";"31";"311547";"UBS BARREIRO BRANCO";"RUA PROJETADA";"BARREIRO BRANCO";"-15.3876944906";"-43,1112957001"
"6388396";"24";"240120";"POSTO DE AREIAS PSF V";"SITIO AREIAS";"ZONA RURAL";"-6.195";"-35,16"
"6388280";"29";"292740";"USF ALTO DA TEREZINHA";"RUA DIRETA DA TEREZINHA";"ALTO DA TEREZINHA";"-12.8836003646";"-38,4777259827"
"6388892";"29";"292740";"USF SAO JOSE DE BAIXO";"RUA RODOVIA SAMBRA";"LOBATO";"-13.0152829734";"-38,4880900383"
"6389023";"29";"292740";"USF ESTRADA DA COCISA";"TRAVESSA MONTES CLAROS";"PARIPE";"-12.8324547";"-38,4752693"
"6389244";"31";"313420";"PSF 11";"RUA DOZE A";"SETOR NORTE";"-18.9639392801";"-49,4698701615"
"6389783";"31";"316870";"UNIDADE DE SAUDE PRIMAVERA";"AVENIDA ACESITA";"PRIMAVERA";"-19.5601540854";"-42,6396989822"
"6390447";"29";"291080";"USF DA RUA NOVA I";"RUA CORDEIRO";"RUA NOVA";"-12.2537124792";"-38,9769539483"
"6390471";"21";"211023";"CENTRO DE SAUDE FRANCISCO DAS CHAGAS COSTA";"AV PRINCIPAL";"CENTRO";"-3.118";"-42,413"
"6391044";"42";"420910";"FUNDAMAS";"RUA MONSENHOR GERCINO";"ITAUM";;
"6391761";"23";"230830";"UBS IRACI MARIA DE OLIVEIRA";"SITIO SANTA CATARINA";"ZONA RURAL";"-7.232684";"-38,973787"
"6392989";"35";"355220";"UNIDADE DE SAUDE DA FAMILIA WANEL VILLE SOROCABA";"RUA ALEXANDRE CALDINI";"WANEL VILLE";"-23.49526";"-47,5058095"
"6393292";"43";"431720";"NASF I SANTA ROSA";"RUA FRANCISCO TIMM";"CENTRO";"-27.868007919";"-54,4853210449"
"6393365";"35";"352230";"ATENCAO INTEGRAL A SAUDE UNIMED SUL PAULISTA";"RUA DOUTOR COUTINHO";"CENTRO";"-23.5785725543";"-48,0373983601"
"6394019";"26";"260330";"PSF LEOPOLDO VELOSO";"RUA TERTULINO ALVES";"CENTRO";"-8.73996";"-36,33542"
"6394310";"33";"330510";"UNIDADE DE SAUDE DA FAMILIA DE VENDA VELHA";"AVENIDA ESTACIO DE SA";"PARQUE NOVO RIO";"-22.8041736891";"-43,3724141121"
"6394841";"25";"251370";"UNIDADE DE PSF MAURICE VAN WOENSEL";"RUA 22 DE MAIO";"ALTO POPULAR";"-7.1322350306";"-34,9795246124"
"6395139";"35";"353740";"UBS ANTONIO DOMICIANO BARBOZA";"RUA CYRO MAIA";"LAPINHA";"-20.6516136";"-51,1152563"
"6395147";"29";"292190";"UNIDADE BASICA DE SAUDE";"RUA REGINALDO MEDRADO";"CENTRO";"-12.9998535516";"-41,3691687584"
"6395244";"23";"230840";"POSTO DE SAUDE FORQUILHA";"SITIO FORQUILHA";"ZONA RURAL";"-7.3487";"-39,19755"
"6396356";"26";"260765";"COMPLEXO DE REGULACAO MUNICIPAL DE ITAMBE";"RUA JOSUE DE CASTRO";"CENTRO";"-7.4046007656";"-35,1232440262"
"6396364";"35";"354790";"POSTO DE SAUDE JOAQUIM JOSE DO NASCIMENTO";"RUA NOVE DE JULHO";"CENTRO";"-21.0910868794";"-47,1552300453"
"6396518";"32";"320510";"PENITENCIARIA DE SEGURANCA MAXIMA I PSMAI";"RODOVIA BR 262 KM 20";"VIANA";"-20.3697021";"-40,50341"
"6396860";"24";"240260";"UBS PLANALTO";"FRANCISCO MARTINIANO";"PLANALTO";"-5.6460441";"-35,420188"
"6396968";"35";"352340";"CAISMI CENTRO DE SAUDE INTEGRADA DE SAUDE DA MULHER";"RUA ANGELO FACCIONE";"CENTRO";"-23.008032";"-46,83728"
"6397549";"21";"211160";"UNIDADE BASICA DE SAUDE MARIA JOSE FERREIRA";"POVOADO MORRO DO CHUPE";"ZONA RURAL";"-7.022";"-45,481"
"6398642";"31";"316695";"UBS JOSE CHICO MARTINS MENDES";"FAZENDA BARRA CURRAL DE PEDRA";"ZONA RURAL";"-15.8289412935";"-42,87099123"
"6398650";"31";"316695";"UBS SANHAROL";"FAZENDA SENHAROL";"ZONA RURAL";"-15.8290651575";"-42,871055603"
"6399347";"21";"210540";"CENTRO DE SAUDE LUZINETE DA SILVA RAPOSO";"RUA URBANO SANTOS";"CENTRO";"-3.39293";"-44,3596"
"6399452";"31";"314800";"USF JARDIM PARAISO DR CARLOS MARCELO DE CASTRO";"RUA JOAQUIM GUIMARAES MAIA";"JARDIM PARAISO";"-18.5818537";"-46,5053844"
"6400124";"35";"352530";"USF JARDIM PADRE AUGUSTO SANI";"RUA JOSE IGNACIO CURI";"JARDIM PADRE AUGUSTO";"-22.311114";"-48,58578"
"6401163";"29";"290205";"UNIDADE DE SAUDE DA FAMILIA AUREA OLIVEIRA DE CARVALHO";"RUA FORTALEZA";"CONJUNTO RESIDENCIAL";"-12.2069228038";"-38,2085931301"
"6401171";"29";"290205";"UNIDADE DE SAUDE DA FAMILIA ADEMAR NASCIMENTO NILO";"RUA INACIO NASCIMENTO";"CENTRO";"-12.2107204";"-38,2009785"
"6401368";"24";"241110";"UNIDADE BASICA MARIA CARLOS RIBEIRO";"RUA TEOFILO DE MOURA BARBOSA";"CENTRO";"-5.8790685062";"-35,9345090389"
"6401376";"24";"241110";"UNIDADE BASICA DE SAUDE FRANCISCO DAS CHAGAS";"SITIO MALHADA GRANDE";"ZONA RURAL";"-5.9041362";"-35,9437922"
"6401430";"21";"210270";"USF CELIA DE JESUS SOUSA DOS SANTOS";"RUA 1 DE MAIO";"CENTRO";"-3.6303951534";"-44,379658699"
"6401864";"41";"410550";"UBS DR ALCIDES PERNOMIAM JARDIM UNIVERSIDADE";"RUA DO FARMACEUTICO";"JARDIM UNIVERSIDADE";"-23.6562847831";"-52,628691394"
"6402585";"43";"430490";"UNIDADE CENTRAL";"RUA TIRADENTES";"INTERIOR";"-28.5607306";"-51,9774793"
"6403050";"24";"240710";"E S F RIACHO DO SANGUE";"RODOVIA RN 160 S N RIACHO DO SANGUE";"ZONA RURAL";"-5.8636";"-35,3569"
"6403654";"29";"290290";"USF DO BAIRRO PRIMAVERA";"RUA BAHIA";"PRIMAVERA";"-14.8630227466";"-40,5709948689"
"6403689";"21";"211050";"UNIDADE BASICA DE SAUDE PSF SAO LOURENCO I";"SAO LOURENCO";"SAO LOURENCO";"-2.701506445";"-44,8372220993"
"6403719";"35";"351320";"ESF MIRIAN MARCHINI DE FREITAS";"RUA SEBASTIAO RODRIGUES DE SOUZA";"CENTRO";"-20.40170575";"-47,41966728"
"6404030";"24";"240360";"UBS REDINHA NOVA";"AVENIDA LITORANEA";"SANTA RITA";"-5.7039959";"-35,1971656"
"6404057";"22";"221100";"UNIDADE BASICA DE SAUDE DR CARLOS ALBERTO CORDEIRO";"RUA EDMILSON PAIXAO";"DIRCEUII";"-5.1092338798";"-42,7588427067"
